gene_index,sequenced,debuted,status,UniProtKB_entry
59378,1980,1996,Success,P0DN86
40925,1982,1991,Success,P03301
12076,1984,1993,Success,P01584
45627,1984,2018,Success,P17232
71915,1985,1991,Success,P04932
58217,1985,2006,Success,P02858
29175,1987,1991,Success,P08435
60273,1988,1990,Success,P12685
18649,1988,1995,Success,P0CH32
85551,1988,1995,Success,P15559
36475,1988,2012,Success,P0CZ17
52358,1989,1990,Success,P15047
3220,1989,1992,Success,P14635
22158,1990,1991,Success,P0ABW8
8078,1990,2013,Success,P0AAQ2
64232,1991,1991,Success,P18009
2974,1991,1991,Success,P25298
17692,1991,1991,Success,P0A4F8
18669,1991,1991,Success,P31151
138034,1991,1991,Success,Q01166
21481,1991,1992,Success,P24860
79737,1991,1995,Success,P26017
71257,1992,1992,Success,P27809
12073,1992,1994,Success,Q03267
43067,1992,1995,Success,P11220
75069,1992,2013,Success,P34254
84222,1993,1993,Success,Q06552
27627,1993,1994,Success,P0DJD3
72830,1993,1994,Success,P50539
12278,1993,1995,Success,P49257
14066,1993,2008,Success,P0AF48
75753,1993,2015,Success,Q04853
13378,1994,1994,Success,Q15427
17314,1994,1994,Success,Q39022
72548,1994,1994,Success,P42364
91927,1994,1994,Success,Q08002
21900,1994,1996,Success,Q03611
26205,1994,1996,Success,P47245
95951,1994,1997,Success,P41896
61468,1994,1998,Success,P38074
17216,1994,2000,Success,Q12866
68597,1994,2001,Success,P41318
104926,1994,2006,Success,P38838
57286,1994,2010,Success,P38812
90094,1994,2011,Success,Q03615
64537,1994,2014,Success,P40902
76698,1994,2018,Success,P54191
15681,1995,1995,Success,Q63187
22976,1995,1995,Success,Q45407
42798,1995,1995,Success,P42090
22160,1995,1996,Success,P60242
17287,1995,1997,Success,P51512
136764,1995,2000,Success,P42111
62922,1995,2001,Success,P39377
37979,1995,2011,Success,P39333
72547,1996,1996,Success,Q53891
40053,1996,1999,Success,P42351
42864,1996,2001,Success,Q15782
50038,1996,2010,Success,P76250
56674,1996,2010,Success,Q08271
70708,1996,2014,Success,P74167
30573,1996,2017,Success,P0AD03
13724,1997,1997,Success,Q15785
37158,1997,1997,Success,P95442
57609,1997,1997,Success,P92996
98940,1997,1997,Success,Q46087
13410,1997,1998,Success,Q8Z497
98196,1997,2000,Success,P53322
52134,1997,2001,Success,Q04868
29626,1997,2002,Success,O25830
99558,1997,2002,Success,Q8RYD9
46209,1997,2003,Success,Q9LZR3
129746,1997,2003,Success,P96619
42026,1997,2008,Success,Q99440
56974,1998,1997,Success,B1Q257
15588,1998,1998,Success,O75923
17417,1998,1998,Success,O75592
