year,new_entries
1939,1
1940,0
1941,2
1942,0
1943,1
1944,0
1945,1
1946,0
1947,0
1948,1
1949,2
1950,0
1951,1
1952,11
1953,3
1954,1
1955,2
1956,8
1957,4
1958,15
1959,8
1960,7
1961,8
1962,7
1963,13
1964,15
1965,61
1966,41
1967,67
1968,72
1969,76
1970,107
1971,155
1972,147
1973,170
1974,172
1975,198
1976,242
1977,236
1978,291
1979,371
1980,454
1981,567
1982,782
1983,957
1984,1295
1985,1668
1986,2441
1987,2718
1988,3428
1989,4456
1990,5472
1991,5542
1992,7049
1993,7279
1994,8184
1995,10186
1996,11635
1997,16468
1998,16137
1999,14121
2000,23847
2001,22860
2002,29957
2003,27671
2004,41757
2005,35791
2006,30979
2007,30251
2008,31730
2009,29756
2010,9517
2011,10883
2012,2447
2013,1663
2014,1315
2015,1294
2016,590
2017,289
2018,119
