,debuted_genes
1867,1
1868,0
1869,0
1870,0
1871,0
1872,1
1873,0
1874,0
1875,0
1876,0
1877,0
1878,0
1879,0
1880,3
1881,1
1882,0
1883,1
1884,2
1885,2
1886,2
1887,2
1888,1
1889,1
1890,0
1891,2
1892,1
1893,2
1894,0
1895,0
1896,2
1897,4
1898,2
1899,1
1900,4
1901,0
1902,1
1903,3
1904,3
1905,7
1906,4
1907,1
1908,0
1909,5
1910,1
1911,3
1912,1
1913,4
1914,2
1915,3
1916,5
1917,2
1918,5
1919,6
1920,4
1921,6
1922,3
1923,3
1924,3
1925,5
1926,8
1927,2
1928,6
1929,4
1930,7
1931,4
1932,10
1933,3
1934,2
1935,4
1936,2
1937,3
1938,9
1939,7
1940,4
1941,10
1942,4
1943,5
1944,1
1945,5
1946,17
1947,16
1948,16
1949,25
1950,19
1951,37
1952,34
1953,34
1954,39
1955,30
1956,37
1957,23
1958,36
1959,46
1960,39
1961,73
1962,84
1963,103
1964,127
1965,169
1966,189
1967,194
1968,253
1969,297
1970,283
1971,326
1972,303
1973,358
1974,368
1975,895
1976,731
1977,628
1978,576
1979,545
1980,650
1981,626
1982,726
1983,791
1984,816
1985,818
1986,915
1987,1004
1988,1121
1989,1283
1990,1428
1991,1607
1992,1860
1993,1800
1994,1916
1995,1968
1996,1954
1997,1934
1998,1970
1999,1967
2000,2052
2001,1935
2002,1932
2003,1849
2004,1832
2005,1736
2006,1674
2007,1673
2008,1637
2009,1466
2010,1389
2011,1448
2012,1384
2013,1280
2014,1127
2015,1095
2016,988
2017,747
2018,676
