,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
10,1,0,0,0,0,0,0,2,2,0,3,0,0,3,0,4,0,0,0,0,1,3,1,3,4,3,0,0,0
56943,3,0,3,4,0,0,0,1,0,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2,2,0,0,0,0,4,0,0,0,0,0,0,0,11,0,0,0,0,4,0,0,0,2,0,4,0,0,0
16877,7,2,4,5,5,4,2,4,9,4,10,4,3,4,9,4,4,5,7,0,13,12,8,9,0,3,0,4,1
18363,2,1,2,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
25,2,2,0,10,7,2,7,3,8,10,10,21,5,12,13,22,8,32,27,20,14,19,20,28,36,25,15,14,9
1057,5,0,2,5,0,7,0,0,6,0,0,0,1,1,0,2,3,1,0,2,0,0,0,0,2,0,0,0,0
38998,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0
799,111,127,114,156,181,158,173,181,211,198,191,240,191,173,209,194,177,199,181,163,126,121,149,122,130,92,90,52,34
43,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2599,1,0,0,0,0,0,0,0,0,0,9,0,0,3,0,1,0,3,0,1,0,0,3,0,4,1,0,0,0
48,1,0,1,0,1,0,5,3,2,0,2,1,1,2,3,0,0,1,5,4,7,6,6,0,3,1,1,1,0
59,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
148,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
153,5,0,0,2,0,0,2,4,4,0,4,1,0,0,3,2,0,1,6,7,0,1,1,2,1,0,3,3,0
235,4,0,0,2,0,0,4,3,3,1,5,1,0,0,0,0,0,0,2,0,0,1,2,4,5,3,0,0,0
62,3,0,0,0,0,0,3,3,2,1,2,0,2,0,0,4,0,0,3,11,0,0,5,0,1,6,1,0,0
304,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
563,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82636,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,4,2,3,3,5,0,0,0,6
26853,1,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0
120,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,0,0,0,0
19160,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
158,2,1,0,0,3,0,7,0,1,0,6,4,2,0,0,0,4,0,0,3,0,0,0,0,1,0,3,0,0
203,2,7,0,5,1,0,3,0,0,0,3,1,0,0,0,1,4,1,0,0,0,0,3,0,0,0,0,0,0
1012,3,1,0,0,4,0,2,0,0,0,0,0,0,0,5,1,0,0,3,1,0,0,0,0,4,0,1,0,0
165,1,5,1,3,1,0,10,0,4,6,3,5,6,5,1,8,0,1,4,0,2,10,9,6,2,1,6,2,10
3761,5,6,6,12,23,18,20,28,10,25,13,16,26,19,11,5,15,16,9,23,7,7,20,9,5,9,13,17,3
166,2,4,0,1,0,1,0,0,0,1,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
428,2,0,1,0,5,1,2,0,5,2,1,9,6,3,3,3,6,6,13,19,12,13,1,33,16,9,18,10,12
18142,3,0,0,6,2,3,0,1,0,0,0,0,0,0,2,0,3,0,0,2,4,0,0,0,0,0,1,0,0
168,1,2,0,1,0,6,0,0,0,0,6,0,0,0,0,0,2,1,1,0,0,0,1,0,0,3,0,0,0
9891,4,0,0,1,0,4,0,0,4,4,0,3,5,0,1,0,3,3,0,0,0,0,0,1,0,3,1,0,2
195,2,4,1,0,7,1,0,0,0,5,0,3,0,0,9,3,0,1,0,0,8,0,4,6,0,0,3,0,0
5784,2,0,0,0,1,0,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,1,0,3,0
196,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419,4,0,0,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,0
808,4,0,0,4,3,1,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1601,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,1,0,0,0,0,0,0,0,0,0
204,3,0,2,1,0,0,2,0,1,5,3,1,0,0,1,0,6,8,2,0,0,0,0,5,10,4,12,2,5
1895,3,0,1,1,0,0,0,0,0,0,2,3,0,0,0,0,0,2,1,0,0,0,4,3,0,2,0,0,0
2970,4,0,1,0,0,1,2,0,0,0,7,0,2,0,3,1,2,1,0,1,2,3,0,2,1,0,0,0,1
236,4,6,3,11,7,7,5,6,4,8,1,17,6,12,11,8,6,10,3,1,0,10,4,0,0,2,5,2,2
373,1,0,0,0,0,0,0,6,0,0,0,0,2,4,6,0,2,0,4,5,3,0,2,0,0,0,0,0,3
744,4,5,0,0,1,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,4,5,5,0,0,0,4,0
834,3,0,0,0,0,0,1,3,5,3,0,3,3,0,1,0,0,0,0,0,3,0,0,0,2,2,0,0,1
844,3,1,0,0,0,1,0,0,3,2,0,0,2,0,0,3,0,1,1,0,1,0,0,0,2,13,2,0,0
289,1,0,0,0,0,2,0,2,0,0,0,2,0,1,0,0,0,0,5,1,0,0,0,1,5,0,0,0,0
299,2,0,0,5,0,0,5,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0
5324,3,0,0,3,0,7,5,0,2,2,5,6,2,1,0,3,7,0,4,6,0,1,0,6,2,0,2,0,6
334,2,0,0,0,0,0,4,0,0,0,6,0,0,1,0,0,4,0,0,0,0,0,0,9,2,0,0,0,0
348,2,3,2,0,3,3,4,0,6,0,0,0,0,0,0,0,4,0,0,1,0,4,0,2,7,5,0,0,0
377,3,0,0,5,0,3,0,0,1,0,2,3,0,0,0,3,5,0,0,1,0,0,0,2,13,0,0,0,0
362,1,0,2,0,0,9,0,0,0,0,0,3,0,6,0,3,0,0,0,3,1,0,0,1,2,0,0,3,0
605,2,1,0,0,0,0,3,0,2,0,0,0,0,5,0,0,6,0,0,0,1,2,13,3,4,0,1,4,2
386,2,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1397,4,3,0,0,3,0,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,3,0,0,0,0,0,0,0,0,0,1,2,0,1,3,0,0,0,0,0,2,2,0,0,1,0,1,0,0
2499,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2500,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
499,1,0,0,0,0,0,0,0,0,2,0,1,0,2,1,6,0,4,1,0,1,0,3,12,0,0,9,4,2
2137,2,0,0,0,2,0,0,0,2,0,1,0,1,0,0,0,2,0,0,4,0,0,0,5,0,0,0,0,0
520,2,1,10,6,6,5,4,8,5,3,8,4,1,5,2,5,2,8,0,0,0,0,0,0,0,0,0,0,2
45848,2,0,5,5,5,0,7,5,8,14,3,6,3,1,2,0,2,0,1,0,2,0,0,2,5,8,0,1,1
595,2,0,0,0,0,0,0,0,4,4,4,2,10,8,7,7,2,7,10,14,7,7,3,10,3,2,14,5,9
602,5,4,3,5,5,8,1,2,8,6,12,9,12,3,8,3,2,9,1,2,1,8,4,4,4,0,3,2,0
10057,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18555,3,5,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0
19036,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,6,0,0,0
84240,6,0,0,0,0,0,0,3,0,3,2,3,1,1,3,1,1,4,0,0,3,4,8,8,0,0,0,0,1
87645,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
980,2,0,5,2,0,3,3,3,1,2,7,8,7,3,3,2,9,7,7,16,7,11,23,23,9,9,37,19,30
650,1,4,4,2,0,1,1,3,1,0,2,2,13,5,5,0,0,10,5,15,1,3,5,3,10,9,10,7,0
2059,4,0,4,7,2,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
660,1,0,0,1,0,0,0,0,2,2,0,9,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3
