,paper,patent,patent_gon
1990,320,,
1991,395,1.0,1.0
1992,390,1.0,1.0
1993,442,3.0,3.0
1994,549,5.0,5.0
1995,586,2.0,2.0
1996,758,9.0,9.0
1997,900,14.0,14.0
1998,1127,18.0,18.0
1999,1574,18.0,18.0
2000,1919,11.0,11.0
2001,2176,18.0,28.0
2002,2288,16.0,34.0
2003,2455,18.0,36.0
2004,2713,18.0,33.0
2005,3131,15.0,30.0
2006,3073,11.0,26.0
2007,3254,13.0,39.0
2008,3572,13.0,40.0
2009,3702,19.0,52.0
2010,3808,19.0,35.0
2011,4226,17.0,46.0
2012,4542,14.0,41.0
2013,4935,11.0,33.0
2014,5127,14.0,55.0
2015,5507,,57.0
2016,5630,,
2017,5618,,
2018,6282,,
