,target_b,tau9_beta08_db,tau9_beta08_b,tau9_beta08_y,tau12_beta07_db,tau12_beta07_b,tau12_beta07_y,tau19_beta10_db,tau19_beta10_b,tau19_beta10_y
1990,17343,,,7857.999092674528,,,5641.83769063988,,,5687.3426280916565
1991,18950,,,9748.746207493852,,,6998.369134020143,,,7051.6335981338425
1992,20810,,,12033.683188607924,,,8640.963156665737,,,8707.38255609722
1993,22610,,,14690.706326078487,,,10559.620306843537,,,10651.438518983927
1994,24526,,,17756.82312012558,,,12782.91965892477,,,12915.419657321763
1995,26494,,,21357.438352526806,,,15398.553124666101,,,15585.566822016612
1996,28448,,,25558.24606629198,,,18456.250350590424,,,18715.346653153672
1997,30382,2187.123022230193,30082.57819399173,30702.722875506908,1922.8257778503885,30010.70889583201,22191.163610848693,1984.8337479779184,29553.924525775517,22528.98396800358
1998,32352,2176.428392549089,32259.006586540818,36663.78534448538,1979.2060894618535,31989.91498529386,26530.61999186293,2047.9448408166463,31601.869366592164,26974.446495667173
1999,34319,2023.6523741676829,34282.658960708504,43185.95761752528,1912.3541974279688,33902.26918272183,31313.44957245619,1990.3687395627348,33592.238106154895,31915.978860657895
2000,36371,2043.6291096400455,36326.28807034854,51028.46724802011,1985.6222720721853,35887.891454794015,37048.55580523909,2051.9978732979725,35644.235979452875,37826.80438182796
2001,38306,1935.0007267011606,38261.28879704971,59969.431781981024,1939.7406338956753,37827.63208868969,43604.55753911839,1997.3210138385803,37641.55699329145,44606.622891819774
2002,40238,1885.7734548111148,40147.06225186082,70490.39724616565,1932.0005480037507,39759.63263669344,51313.03094633875,1968.1728804887389,39609.72987378019,52574.74754855771
2003,42087,1758.2857471857787,41905.3479990466,82232.89180590789,1831.4397082694159,41591.07234496286,59953.884551924915,1849.0006249007238,41458.73049868092,61553.04886931601
2004,43919,1786.3095508651677,43691.65754991177,96253.49333366995,1852.52242040923,43443.59476537209,70240.94741420046,1831.491299095138,43290.22179777605,72211.93111574356
2005,45655,1735.9999176597994,45427.65746757157,111810.72363561658,1780.1466185819227,45223.74138395401,81708.68539277912,1732.1840550798952,45022.40585285595,84159.35010768489
2006,47329,1679.1531655738072,47106.810633145375,128338.16321406042,1691.3262656711777,46915.06764962518,93993.37452384175,1625.1105455884172,46647.516398444364,97082.5281540187
2007,49002,1658.9160223990839,48765.72665554446,145672.53861676468,1637.5963771657152,48552.6640267909,106988.94963346727,1557.925704928086,48205.44210337245,110894.11264209956
2008,50639,1678.9604681371711,50444.68712368163,163853.4180415084,1627.7236964869662,50180.38772327787,120721.34943464221,1538.1575088645768,49743.59961223703,125624.38361075804
2009,52105,1699.0026778591491,52143.68980154078,182625.71279612783,1628.6939011703435,51809.08162444821,135021.17804997292,1537.8596837120567,51281.459295949084,141125.03151998552
2010,53494,1576.072831235142,53719.76263277592,200224.55158689155,1522.115547209789,53331.197171658,148710.31161184545,1461.1208838487582,52742.58017979784,156318.89468950836
2011,54942,1484.3870253681525,55204.14965814407,216888.25543923216,1447.9934272192913,54779.19059887729,161914.03213147342,1414.148143810613,54156.728323608455,171291.73766275178
2012,56326,1342.914698961089,56547.06435710516,232005.4553634618,1336.5339500189875,56115.72454889628,174198.99737006516,1339.5907470602906,55496.319070668746,185622.37415352455
2013,57606,1212.3536937321478,57759.41805083731,245672.82598871586,1234.0759032744245,57349.800452170704,185594.78731867686,1271.3704945391219,56767.68956520787,199303.53433445265
2014,58733,1093.7916790232266,58853.20972986054,258013.55562037826,1140.220809944687,58490.02126211539,196153.01932751975,1208.3118899799301,57976.0014551878,212350.67505270452
2015,59828,987.953342389199,59841.163072249736,269165.3880321997,1055.078701140359,59545.09996325575,205939.48548484498,1150.1700513103424,59126.17150649814,224795.22613489165
2016,60816,888.2047659445598,60729.367838194295,279194.1219712859,973.2299957819487,60518.3299590377,214976.490668609,1092.6542126617205,60218.82571915986,236631.98821892333
2017,61563,796.8119933333,61526.179831527596,288192.54054780345,896.5286756402347,61414.858634677934,223307.11182782787,1037.2154914835482,61256.04121064341,247876.69053626023
2018,62239,713.8226114561257,62240.00244298372,296254.6905762634,825.1775060390064,62240.03614071694,230978.31359602138,984.1305533944542,62240.17176403786,258550.97231060494
